N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,76400.0,상승  600,+0.79%,100.0,2589355.0,4559060.0,65670.0
2.0,SK하이닉스,179300.0,"상승  4,300",+2.46%,5000.0,327657.0,1003302.0,-77303.0
3.0,LG에너지솔루션,368500.0,"하락  8,000",-2.12%,500.0,337455.0,454371.0,21632.0
4.0,삼성바이오로직스,991000.0,"상승  18,000",+1.85%,2500.0,36946.0,160462.0,11137.0
5.0,현대차,259000.0,"상승  11,500",+4.65%,5000.0,1626636.0,2824634.0,151269.0
6.0,삼성전자우,61800.0,상승  300,+0.49%,100.0,,,
7.0,셀트리온,201500.0,"상승  1,000",+0.50%,1000.0,21764.0,199175.0,6515.0
8.0,기아,104600.0,"상승  2,800",+2.75%,5000.0,998084.0,806278.0,116079.0
9.0,KB금융,85800.0,"하락  2,000",-2.28%,5000.0,774828.0,7157382.0,64353.0
10.0,신한지주,57600.0,"하락  2,100",-3.52%,5000.0,394329.0,6917953.0,61009.0
11.0,POSCO홀딩스,336500.0,"하락  9,500",-2.75%,5000.0,771272.0,1009454.0,35314.0
12.0,삼성물산,150500.0,하락  700,-0.46%,100.0,418957.0,661270.0,28702.0
13.0,NAVER,163800.0,"하락  4,100",-2.44%,100.0,96706.0,357378.0,14888.0
14.0,삼성SDI,339500.0,"상승  1,500",+0.44%,5000.0,227083.0,340389.0,16334.0
15.0,LG화학,313500.0,"하락  5,500",-1.72%,5000.0,552498.0,774667.0,25292.0
16.0,현대모비스,224000.0,"상승  2,000",+0.90%,5000.0,592544.0,585858.0,22953.0
17.0,삼성생명,95300.0,하락  400,-0.42%,500.0,309370.0,3146551.0,23984.0
18.0,하나금융지주,63300.0,"하락  2,700",-4.09%,5000.0,696936.0,5919260.0,46934.0
19.0,메리츠금융지주,93000.0,"하락  1,300",-1.38%,500.0,585584.0,1022358.0,29335.0
20.0,HD현대중공업,191200.0,상승  300,+0.16%,5000.0,119639.0,171336.0,1786.0
21.0,카카오,37150.0,하락  850,-2.24%,100.0,75570.0,251800.0,4609.0
22.0,포스코퓨처엠,211000.0,"하락  9,000",-4.09%,500.0,47599.0,63346.0,359.0
23.0,삼성화재,341000.0,"하락  5,500",-1.59%,500.0,208247.0,850190.0,23573.0
24.0,LG전자,98300.0,하락  300,-0.30%,5000.0,842278.0,602408.0,35491.0
25.0,크래프톤,332000.0,"하락  10,000",-2.92%,100.0,19106.0,64405.0,7680.0
26.0,한화에어로스페이스,290000.0,"상승  6,000",+2.11%,5000.0,93590.0,195429.0,6911.0
27.0,한국전력,22550.0,하락  200,-0.88%,5000.0,882195.0,2397150.0,-45416.0
28.0,KT&G,109800.0,"하락  1,200",-1.08%,5000.0,58626.0,127725.0,11673.0
29.0,HD한국조선해양,186700.0,상승  300,+0.16%,5000.0,212962.0,322426.0,2823.0
30.0,HMM,17380.0,상승  20,+0.12%,5000.0,84010.0,257134.0,5848.0
31.0,LG,80800.0,하락  100,-0.12%,5000.0,74453.0,302531.0,15890.0
32.0,SK텔레콤,55800.0,하락  300,-0.53%,100.0,176085.0,301192.0,17532.0
33.0,한미반도체,122800.0,"상승  7,700",+6.69%,100.0,1590.0,7238.0,346.0
34.0,우리금융지주,16030.0,하락  250,-1.54%,5000.0,419863.0,4980049.0,34990.0
35.0,두산에너빌리티,18480.0,상승  620,+3.47%,5000.0,175899.0,246408.0,14673.0
36.0,HD현대일렉트릭,322000.0,"상승  12,500",+4.04%,5000.0,27028.0,29102.0,3152.0
37.0,삼성에스디에스,149500.0,"하락  2,900",-1.90%,500.0,132768.0,123210.0,8082.0
38.0,기업은행,14030.0,하락  230,-1.61%,5000.0,286238.0,4484273.0,34323.0
39.0,고려아연,539000.0,"하락  6,000",-1.10%,5000.0,97045.0,120461.0,6599.0
40.0,SK스퀘어,81700.0,상승  900,+1.11%,100.0,2239.0,179700.0,-23397.0
41.0,유한양행,135500.0,"상승  23,000",+20.44%,1000.0,18590.0,28141.0,568.0
42.0,삼성전기,142600.0,"하락  1,300",-0.90%,5000.0,89094.0,116579.0,6394.0
