N,Name,Current Price,Change,Change Rate,Volume,Trading Value,Market Cap,Shares,Foreign Ratio,PER,ROE,토론
1,삼성전자,"74,400","하락2,000",-2.62%,100,"4,441,518","5,969,783",56.14,"6,206,683",18.19,4.15,
2,SK하이닉스,"170,800","하락8,500",-4.74%,"5,000","1,243,428","728,002",54.32,"3,089,108",49.77,-15.61,
3,LG에너지솔루션,"387,000","상승18,500",+5.02%,500,"905,580","234,000",4.87,"233,931",-539.00,6.36,
4,삼성바이오로직스,"968,000","하락23,000",-2.32%,"2,500","688,964","71,174",13.02,"36,755",66.99,9.12,
5,현대차,"260,500","상승1,500",+0.58%,"5,000","545,529","209,416",41.11,"780,198",5.65,13.68,
6,삼성전자우,"60,600","하락1,200",-1.94%,100,"498,669","822,887",76.02,"413,033",14.81,N/A,
7,셀트리온,"200,000","하락1,500",-0.74%,"1,000","434,042","217,021",22.79,"194,473",112.99,5.07,
8,기아,"106,400","상승1,800",+1.72%,"5,000","425,449","399,858",41.11,"711,992",4.45,20.44,
9,KB금융,"87,700","상승1,900",+2.21%,"5,000","353,879","403,511",76.11,"325,455",8.46,8.44,
10,신한지주,"58,200",상승600,+1.04%,"5,000","296,467","509,393",60.81,"315,710",6.99,8.36,
11,POSCO홀딩스,"340,000","상승3,500",+1.04%,"5,000","280,923","82,624",28.91,"68,158",21.26,3.18,
12,삼성물산,"148,400","하락2,100",-1.40%,100,"263,832","177,784",26.96,"55,520",12.18,7.28,
13,NAVER,"163,700",하락100,-0.06%,100,"263,204","160,785",43.09,"140,090",17.34,4.41,
14,삼성SDI,"346,500","상승7,000",+2.06%,"5,000","238,269","68,765",38.07,"127,583",14.30,11.48,
15,LG화학,"317,500","상승4,000",+1.28%,"5,000","224,131","70,592",35.75,"88,563",156.64,4.20,
16,현대모비스,"221,500","하락2,500",-1.12%,"5,000","205,984","92,995",40.32,"55,833",5.93,8.73,
17,삼성생명,"97,600","상승2,300",+2.41%,500,"195,200","200,000",20.88,"50,937",10.78,4.95,
18,하나금융지주,"63,900",상승600,+0.95%,"5,000","186,816","292,357",69.12,"534,420",5.60,9.01,
19,메리츠금융지주,"96,400","상승3,400",+3.66%,500,"183,854","190,720",16.82,"137,818",9.46,28.11,
20,HD현대중공업,"188,800","하락2,400",-1.26%,"5,000","167,604","88,773",10.06,"48,208",82.19,0.47,
21,포스코퓨처엠,"215,500","상승4,500",+2.13%,500,"166,933","77,463",9.50,"82,406","-10,775.00",1.19,
22,삼성화재,"351,000","상승10,000",+2.93%,500,"166,286","47,375",53.87,"34,438",9.31,12.73,
23,카카오,"36,950",하락200,-0.54%,100,"163,870","443,492",26.57,"245,586",-16.90,-10.26,
24,LG전자,"97,700",하락600,-0.61%,"5,000","159,884","163,648",32.47,"102,443",15.87,3.69,
25,크래프톤,"328,000","하락4,000",-1.20%,100,"157,092","47,894",40.83,"20,801",17.79,11.16,
26,한화에어로스페이스,"290,000",보합0,0.00%,"5,000","146,827","50,630",36.65,0,52.51,25.60,
27,한국전력,"22,250",하락300,-1.33%,"5,000","142,837","641,964",15.06,"727,058",5.38,-12.63,
28,KT&G,"108,600","하락1,200",-1.09%,"5,000","141,530","130,322",44.84,"95,296",14.06,9.76,
29,HD한국조선해양,"187,000",상승300,+0.16%,"5,000","132,346","70,773",30.31,"65,518",16.69,2.26,
30,HMM,"17,080",하락300,-1.73%,"5,000","127,936","749,039",10.51,"329,265",7.18,4.59,
31,LG,"80,000",하락800,-0.99%,"5,000","125,841","157,301",35.31,"21,279",12.73,4.89,
32,우리금융지주,"16,140",상승110,+0.69%,"5,000","119,854","742,592",44.72,"522,136",4.98,8.30,
33,SK텔레콤,"54,900",하락900,-1.61%,100,"117,920","214,790",42.39,"145,823",10.24,9.63,
34,삼성에스디에스,"149,500",보합0,0.00%,500,"115,680","77,378",19.00,"21,410",16.39,8.22,
35,두산에너빌리티,"17,870",하락610,-3.30%,"5,000","114,468","640,561",21.24,"1,547,359",72.06,0.78,
36,유한양행,"140,800","상승5,300",+3.91%,"1,000","112,934","80,209",21.14,"5,672,599",76.44,6.74,
37,기업은행,"14,130",상승100,+0.71%,"5,000","112,676","797,426",15.31,"223,196",4.13,8.79,
38,고려아연,"544,000","상승5,000",+0.93%,"5,000","112,626","20,703",18.34,"5,077",20.43,5.72,
39,HD현대일렉트릭,"306,000","하락16,000",-4.97%,"5,000","110,304","36,047",34.30,"156,748",24.64,27.71,
40,한미반도체,"113,600","하락9,200",-7.49%,100,"110,185","96,994",12.38,"776,228",70.04,55.54,
41,카카오뱅크,"22,200",하락100,-0.45%,"5,000","105,878","476,929",16.36,"136,822",29.06,6.00,
42,SK,"144,400","상승1,800",+1.26%,200,"104,694","72,503",23.56,"25,575",-25.37,-3.67,
43,삼성전기,"139,800","하락2,800",-1.96%,"5,000","104,422","74,694",34.31,"120,634",19.56,5.50,
44,SK이노베이션,"108,100","상승1,300",+1.22%,"5,000","103,490","95,736",21.76,"91,698",-296.98,1.22,
45,SK스퀘어,"75,400","하락6,300",-7.71%,100,"101,601","134,750",53.06,"161,906",10.21,-8.04,
46,한화오션,"33,000",상승650,+2.01%,"5,000","101,116","306,413",17.42,"418,478",17.24,6.33,
47,KT,"39,000",하락300,-0.76%,"5,000","98,288","252,022",47.23,"93,634",9.24,6.05,
48,포스코인터내셔널,"54,000",상승900,+1.69%,"5,000","94,998","175,923",6.42,"200,347",14.93,13.36,
49,KODEX CD금리액티브(합성),"1,046,540",상승195,+0.02%,0,"92,848","8,872",0.00,"128,551",N/A,N/A,
50,SK바이오팜,"117,700","상승4,500",+3.98%,500,"92,175","78,313",11.50,"422,700",272.45,-10.96,
51,삼성중공업,"10,290",보합0,0.00%,"1,000","90,552","880,000",31.45,"846,283",-91.88,-4.22,
52,현대글로비스,"114,100","하락2,000",-1.72%,500,"85,575","75,000",42.24,"104,416",7.74,14.52,
